Timestamp           | RAM Used(GB) | RAM Total(GB) | GPU Mem Used(KB) | GPU Mem Total(KB) | GPU Util(%) | CPU Util(%)
Job ID:        29769
------------------------------------------------------------------------------------------------------
Start Time:    Tue Dec  3 16:05:28 CST 2024
CPU Cores:     8
2024-12-03 17:04:47 |       234.00 |      1007.00 |        23336.00 |        40536.00 |       92.0 |        2.5
2024-12-03 17:05:48 |       233.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        2.7
2024-12-03 17:06:48 |       236.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        2.7
2024-12-03 17:07:49 |       235.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        2.7
2024-12-03 17:08:49 |       239.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        2.5
2024-12-03 17:09:49 |       237.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        2.5
2024-12-03 17:10:49 |       241.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        2.6
2024-12-03 17:11:50 |       243.00 |      1007.00 |        23336.00 |        40536.00 |       97.0 |        3.0
2024-12-03 17:12:50 |       242.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        2.6
2024-12-03 17:13:51 |       248.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        3.4
2024-12-03 17:14:51 |       251.00 |      1007.00 |        23336.00 |        40536.00 |       92.0 |        3.3
2024-12-03 17:15:51 |       255.00 |      1007.00 |        23336.00 |        40536.00 |       97.0 |        4.1
2024-12-03 17:16:51 |       251.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        3.3
2024-12-03 17:17:52 |       257.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        3.6
2024-12-03 17:18:52 |       251.00 |      1007.00 |        23336.00 |        40536.00 |       92.0 |        3.5
2024-12-03 17:19:52 |       251.00 |      1007.00 |        23336.00 |        40536.00 |       96.0 |        3.2
2024-12-03 17:20:53 |       254.00 |      1007.00 |        23336.00 |        40536.00 |       93.0 |        3.3
2024-12-03 17:21:53 |       252.00 |      1007.00 |        23336.00 |        40536.00 |       88.0 |        3.0
2024-12-03 17:22:54 |       304.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.9
2024-12-03 17:23:54 |       306.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        3.1
2024-12-03 17:24:54 |       304.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.9
2024-12-03 17:25:54 |       307.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.9
2024-12-03 17:26:55 |       305.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.9
2024-12-03 17:27:55 |       308.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.9
2024-12-03 17:28:55 |       311.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.8
2024-12-03 17:29:56 |       309.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        3.0
2024-12-03 17:30:56 |       311.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:31:56 |       309.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 17:32:57 |       312.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:33:57 |       314.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 17:34:57 |       312.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        3.0
2024-12-03 17:35:58 |       315.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.9
2024-12-03 17:36:58 |       312.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.4
2024-12-03 17:37:58 |       315.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 17:38:59 |       318.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:39:59 |       316.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:40:59 |       318.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.9
2024-12-03 17:42:00 |       316.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.9
2024-12-03 17:43:00 |       319.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.9
2024-12-03 17:44:00 |       321.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.4
2024-12-03 17:45:00 |       319.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:46:01 |       322.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 17:47:01 |       319.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:48:01 |       323.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 17:49:02 |       319.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:50:02 |       322.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 17:51:02 |       325.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:52:03 |       323.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:53:03 |       326.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        3.0
2024-12-03 17:54:03 |       324.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:55:04 |       327.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:56:04 |       328.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:57:04 |       326.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 17:58:04 |       329.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.7
2024-12-03 17:59:05 |       326.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:00:05 |       329.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:01:06 |       327.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:02:06 |       330.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:03:06 |       332.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:04:07 |       331.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.7
2024-12-03 18:05:07 |       333.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:06:07 |       331.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:07:08 |       334.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.6
2024-12-03 18:08:08 |       331.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.7
2024-12-03 18:09:08 |       334.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.5
2024-12-03 18:10:09 |       337.00 |      1007.00 |        23336.00 |        40536.00 |        0.0 |        2.7
