Timestamp           | RAM Used(GB) | RAM Total(GB) | GPU Mem Used(GB) | GPU Mem Total(GB) | GPU Util(%) | CPU Util(%)
Start Time:    Mon Nov 25 12:39:24 CST 2024
CPU Cores:     1
------------------------------------------------------------------------------------------------------
2024-11-25 13:38:50 |       251.00 |      1007.00 |        22262.00 |        40536.00 |       79.0 |        2.6
2024-11-25 13:39:50 |       253.00 |      1007.00 |        22262.00 |        40536.00 |       76.0 |        1.9
2024-11-25 13:40:51 |       252.00 |      1007.00 |        22262.00 |        40536.00 |       75.0 |        2.4
2024-11-25 13:41:51 |       255.00 |      1007.00 |        22262.00 |        40536.00 |       87.0 |        3.3
2024-11-25 13:42:52 |       253.00 |      1007.00 |        22262.00 |        40536.00 |       92.0 |        2.1
2024-11-25 13:43:52 |       256.00 |      1007.00 |        22262.00 |        40536.00 |       68.0 |        1.8
2024-11-25 13:44:53 |       259.00 |      1007.00 |        22262.00 |        40536.00 |       96.0 |        2.6
2024-11-25 13:45:53 |       257.00 |      1007.00 |        22262.00 |        40536.00 |       68.0 |        1.8
2024-11-25 13:46:53 |       261.00 |      1007.00 |        22262.00 |        40536.00 |       73.0 |        1.5
2024-11-25 13:47:54 |       258.00 |      1007.00 |        22262.00 |        40536.00 |       82.0 |        1.5
2024-11-25 13:48:54 |       261.00 |      1007.00 |        22262.00 |        40536.00 |       72.0 |        1.7
2024-11-25 13:49:55 |       264.00 |      1007.00 |        22262.00 |        40536.00 |       72.0 |        1.5
2024-11-25 13:50:55 |       262.00 |      1007.00 |        22262.00 |        40536.00 |       96.0 |        1.6
2024-11-25 13:51:56 |       266.00 |      1007.00 |        22262.00 |        40536.00 |       77.0 |        1.9
2024-11-25 13:52:56 |       264.00 |      1007.00 |        22262.00 |        40536.00 |       74.0 |        1.5
2024-11-25 13:53:57 |       267.00 |      1007.00 |        22262.00 |        40536.00 |       75.0 |        1.6
2024-11-25 13:54:57 |       270.00 |      1007.00 |        22262.00 |        40536.00 |       72.0 |        1.8
2024-11-25 13:55:58 |       269.00 |      1007.00 |        22262.00 |        40536.00 |       74.0 |        1.4
2024-11-25 13:56:58 |       272.00 |      1007.00 |        22262.00 |        40536.00 |       75.0 |        1.5
2024-11-25 13:57:58 |       270.00 |      1007.00 |        22262.00 |        40536.00 |       66.0 |        1.5
